date,q_pay,q_firm,q_asset,q_reserve,q_productive,q_housing,q_consumption,q_financial,q_government
1999-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1999-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1999-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1999-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2000-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2000-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2000-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2000-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2001-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2001-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2001-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2001-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2002-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2002-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2002-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2002-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2003-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2003-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2003-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2003-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2004-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2004-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2004-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2004-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2005-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2005-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2005-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2005-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2006-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2006-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2006-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2006-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2007-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2007-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2007-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2007-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2008-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2008-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2008-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2008-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2009-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2009-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2009-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2009-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2010-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2010-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2010-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2010-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2011-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2011-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2011-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2011-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2012-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2012-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2012-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2012-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2013-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2013-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2013-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2013-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2014-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2014-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2014-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2014-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2015-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2015-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2015-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2015-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2016-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2016-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2016-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2016-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2017-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2017-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2017-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2017-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2018-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2018-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2018-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2018-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2019-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2019-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2019-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2019-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2020-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2020-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2020-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2020-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2021-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2021-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2021-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2021-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2022-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2022-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2022-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2022-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2023-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2023-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2023-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2023-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2024-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2024-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2024-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2024-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2025-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2025-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
2025-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
